Complexity,Loss,Equation
1,2.003253499425262,"-0.3938101072629929"
3,1.9352739328099078,"0.11435581630450897 - b"
4,0.6970386578836563,"cos(a * 23.520966607773616)"
6,0.19750125814643554,"cos(a * 23.520966608089992) * 2.019119437143244"
8,0.03465106671657185,"(cos(a * 23.494970082918137) * 1.994752390208823) - b"
10,1.0584856827485603e-6,"(cos(a * -23.499965272468547) * 1.999982928739947) - (b * b)"
12,1.0574439083476283e-6,"((cos(a * -23.49996424489615) + -1.6157952481299956e-5) * 1.9999810157107194) - (b * b)"
14,1.050473844030367e-6,"(cos(a * -23.499966260998434) * 1.999983232807834) - (b * ((b * 0.9992019655895851) + 0.0006128933759842132))"
18,1.0484424269443695e-6,"(cos(a * -23.499957014658364) * 1.9999695431735445) - ((b - (-0.00026212906144827664 * (a + (a - b)))) * b)"
22,1.0463437175743789e-6,"(cos(a * -23.499957014658364) * 1.9999695431735445) - ((b - (-0.00026212906144827664 * ((a * 1.5921498497811228) + ((0.5615585270797627 - b) - b)))) * b)"
25,1.0446614397315327e-6,"((cos(a * -23.499958969468274) * 1.999979325195582) - (b - (b - (b * (b - ((b - cos(a - b)) * 0.0010888957782501099)))))) - -0.00011057333273162574"
27,1.043153539710115e-6,"(cos(a * -23.49995755961993) * 1.99997865186857) - (b - ((b + (0.22927909999315332 - ((b * b) - (cos(b - (a * 0.7710176471926705)) * -0.0014226727042765475)))) - 0.2279884003110346))"
