Complexity,Loss,Equation
1,2.1262921182772363,"-0.43338508865119985"
3,2.00591451409471,"0.046318835737238696 - b"
4,0.7489564801718899,"cos(a * 23.49120945699373)"
6,0.18317453548236906,"cos(a * 23.49120945699373) * 2.063024603958342"
8,0.033143898281753334,"(cos(a * -23.508505930758798) * 1.9871902890129034) - b"
10,9.151464820063886e-7,"(cos(a * 23.499989013277137) * 1.999992198044168) - (b * b)"
12,9.117403460141997e-7,"(cos(a * -23.49999287295731) * 1.9999854661055816) - ((b * b) - -5.865776460435791e-5)"
14,9.116446683267306e-7,"(cos(a * -23.499992497353173) * 1.9999845642198502) - (((b * 1.0000333370188876) * b) + 4.8220302249709564e-5)"
15,9.112388270091367e-7,"(cos(a * -23.499991984044012) * 1.9999862974275482) - ((b * b) + (cos(a) * 7.340792261010161e-5))"
16,9.085564284945016e-7,"(cos(a * -23.499988611860616) * 1.999992497214576) - ((b + ((a - 0.7704727144691245) * -0.0003799227371967424)) * b)"
17,9.000233275707467e-7,"(cos((23.499954050061216 - (cos(b * -5.218957629300929) * 0.00022247871312077206)) * a) * 1.9999951868744426) - (b * b)"
20,8.995804730228023e-7,"(cos((23.499743423123114 - ((cos(b * -5.218957615952442) - cos(b)) * 0.00024237049169423407)) * a) * 1.9999944709481854) - (b * b)"
21,8.984912944910728e-7,"(cos(a * (((cos((b * 3.653833930669725) + -1.7232753826844096) * b) * 0.0007251095278666627) + 23.49980695694468)) * 1.999992073919022) - (b * b)"
22,8.94496550976337e-7,"(cos(a * (23.50002112899845 - (cos((b * -5.218951792101636) * cos(b * 5.04876280735475)) * 0.00021425137083131904))) * 1.999991553606327) - (b * b)"
26,8.942253228533073e-7,"((cos((b * (cos(((b + 23.636370721199363) * cos(b)) + b) * -0.00023987185369887156)) - (a * 23.500021595756586)) * 1.9999768457165554) - (b * b)) - 5.5068376186973264e-5"
27,8.931701391805293e-7,"((cos((((cos(b * (((b * 1.7240016795870328) + b) + -1.077021000336931)) * b) * 0.0008895009052153171) + 23.49968402685694) * a) * 1.9999809632160677) - (b * b)) + -5.4266236705863425e-5"
29,8.923274059464428e-7,"(cos(a * ((cos(cos((cos(b) - ((b + b) * b)) * 1.1743125815870439) + 0.5953149225770652) * 0.0007321828936649314) - 23.500211967504093)) * 1.9999849992235847) - ((b * b) + 5.5363645990474625e-5)"
