Complexity,Loss,Equation
1,2.1428557662299093,"0.09129128928990846"
2,1.7781889530884287,"cos(x2)"
3,1.490598359639404,"x1 * x1"
4,0.9079188058145488,"cosh(x1) + -1.4921607189855892"
5,0.7420187727812625,"(x1 * x1) + -0.865204937830223"
6,0.6822773677806464,"(x1 * x1) - cosh(x2)"
7,0.18503613301341432,"(x1 * x1) - (x2 * x2)"
8,0.11539978485832711,"(x1 * x1) - (x2 * tanh(x2))"
9,0.028128412359038023,"(x1 * x1) - ((x2 * x2) / 1.3275508129624183)"
10,1.4708712171274198e-31,"(cos(x2) * 2.0000000000000004) + ((x1 * x1) + -2.0)"
11,0.0,"((cos(x2) + cos(x2)) + (x1 * x1)) + -2.0"
