Complexity,Loss,Equation
1,2.355473393677015,"-0.09497030183967603"
2,2.0653115955309094,"cos(x2)"
3,1.5897874820945885,"x1 * x1"
4,0.9908902388774166,"cosh(x1) + -1.5768391467416907"
5,0.8262564714212012,"(x1 * x1) + -0.8738026153946709"
6,0.6048410510261831,"sinh(cos(x2) - cos(x1))"
7,0.14994032811594352,"(cos(x2) - cos(x1)) * 2.333431810629226"
8,0.147891177236243,"sinh(cos(x2) - cos(x1)) * 1.8569249011718716"
9,0.11644371851397542,"(cos(x2) - (cos(x1) + -0.07800426821636992)) * 2.3873617310482786"
10,5.942213139918004e-32,"(x1 * x1) + ((cos(x2) * 1.9999999999999998) + -2.0)"
11,0.0,"((cos(x2) + cos(x2)) + (x1 * x1)) + -2.0"
