Complexity,Loss,Equation
1,4.553049061553895,"0.48267683438737424"
2,2.843003876081237,"cosh(x1)"
3,1.2297770957358296,"x1 * x1"
4,0.9740934167308782,"cosh(x1) + -1.3670810000799545"
5,0.7089370061770743,"(x1 * x1) - 0.7216925184227462"
7,0.2788225974194197,"(x1 * x1) - (x2 * x2)"
8,0.17723425154426858,"(cos(x2) - 1.3608462590414905) + (x1 * x1)"
9,0.051830718734558585,"(x1 * x1) - ((x2 * 0.69493783102895) * x2)"
10,9.424348599130038e-32,"(x1 * x1) + ((cos(x2) * 2.0000000000000004) - 2.0000000000000004)"
16,6.511183955984367e-32,"(((x1 * x1) - 1.999999999999998) - ((x2 * x2) * 6.689065008137155e-16)) + (cos(x2) * 1.999999999999998)"
17,3.386717714549573e-32,"(((cos(x2) * 1.999999999999998) - 1.999999999999998) - (x2 * (tanh(x2) * 1.3382964933499747e-15))) + (x1 * x1)"
18,2.7576006611533304e-32,"(x1 * x1) + (((cos(x2) * 1.999999999999998) - 1.999999999999998) - ((x2 * sinh(tanh(x2))) * 1.1555254557218163e-15))"
20,2.640865232399159e-32,"(((cos(x2) * 1.999999999999998) - 1.999999999999998) - ((sinh(tanh(x2 * 0.8966506819928504)) * x2) * 1.2155882289156287e-15)) + (x1 * x1)"
21,2.6369531871996225e-32,"(x1 * x1) + (((cos(x2) * 1.999999999999998) - 1.999999999999998) - (((x2 * (tanh(x2) * 14.967524954978845)) - 0.8773834221648585) * 9.441920765360641e-17))"
22,2.239077125547986e-32,"(((cos(x2) * 1.999999999999998) - 1.999999999999998) - ((((x2 * sinh(tanh(x2))) * 14.649303806463553) - 0.6261887113839093) * 8.466104693583074e-17)) + (x1 * x1)"
24,2.231629193341176e-32,"(x1 * x1) + (((1.999999999999998 * cos(x2)) - 1.999999999999998) - (9.441920765360641e-17 * (((0.8966506819928504 * sinh(tanh(x2))) * (14.649303806463553 * x2)) - 0.5911514417228166)))"
26,1.99829074351651e-32,"(x1 * x1) + (((cos(x2) * 1.999999999999998) - 1.999999999999998) - (tanh(cosh(x2)) * (((14.649303806463553 - cos(x2)) * 9.441920765360641e-17) * (tanh(x2) * x2))))"
