Complexity,Loss,Equation
1,2.5512943219343214,"0.20334104862014973"
2,2.076968030082443,"cos(x2)"
3,1.5585574279523107,"x1 * x1"
4,1.0413735674680888,"cosh(x1) - 1.4210352836962143"
5,0.9407991502266699,"(x1 * x1) + -0.7859760032800878"
6,0.6957144766335946,"sinh(cos(x2) - cos(x1))"
7,0.1718783027104628,"(cos(x2) - cos(x1)) * 2.4195670579381168"
9,0.07512422753360146,"(cos(x2 * -0.8206239283185798) - cos(x1)) * 2.64884070664289"
11,0.03990306695746178,"((cos(x2) - (cos(x1) * 1.4469772280007245)) / 0.4985963240702338) + 0.7422444570313801"
13,0.00021275353413386457,"((cos(x2) + 12.014528162642424) - (cos(x1 * -0.28100822037146633) * 13.020801515565298)) * 2.000839326062248"
15,0.00015252874958194673,"(((cos(x2) + 13.874032217007333) - (cos(x1 * -0.2604643935122619) * 15.116571466980465)) * 2.001828782971908) + 0.47819978617083403"
18,3.112772290914204e-5,"(cos(x2) - (((cos(x1) - -1.7588325528360014) - (cos(x1 * 0.7057207799812871) * 3.535015050741486)) * -1.2849965623232704)) / 0.49966243782817926"
20,2.797878191968973e-5,"(cos(x2 + 0.0011859614944676592) - (((cos(x1) - -1.849221733717163) - (cos(x1 * 0.6994158087792742) * 3.6512769335065114)) * -1.2434537636281142)) * 2.0013998507526685"
22,2.5517754367553602e-5,"(cos(x2) - ((-1.2938460474341626 - (x1 * 0.0017183026072659978)) * ((cos(x1) - -1.7320164968609226) - (cos(x1 * 0.7080580326515689) * 3.5029872428662356)))) / 0.49970244381155154"
23,3.368198739004214e-6,"(cos(x2) - (((cos(x1) - -2.0282340139790396) - (cos(x1 * 0.641244996334905) * 3.5440862127738124)) * (-1.7387328790526937 - (cos(x1) * 0.1975088237839578)))) / 0.4998967679228102"
24,3.0510896883874458e-6,"(cos(x2) - ((-1.7390987076143256 - sinh(cos(x1) * 0.19672540657395488)) * ((cos(x1) - -2.028379972556806) - (cos(x1 * 0.641202372247414) * 3.5440400958361957)))) / 0.4998962322408907"
25,4.791011957903024e-7,"(cos(x2) - ((-1.7284598009680523 - (cos(x1 * 1.0553424059097418) * 0.17487241265777959)) * ((cos(x1) - -1.9987568153820516) - (cos(x1 * 0.6456006867617202) * 3.5239468840860786)))) / 0.49999409205919465"
27,4.294778393308344e-7,"((cos(x2) - ((-1.722080133008401 - (cos(x1 * 1.0559217139281478) * 0.17037555801555018)) * ((cos(x1) - -2.00707654028388) - (cos(x1 * 0.6476819235491441) * 3.515267032629319)))) / 0.49999417776705335) - 0.07579532152963583"
