Complexity,Loss,Equation
1,3.048368608481326,"0.1711021018581015"
2,2.588696284243298,"cos(x2)"
3,1.519707141213483,"x1 * x1"
4,0.9867868098354985,"cosh(x1) - 1.4797138511425598"
5,0.46099807148842287,"cosh(x1) - cosh(x2)"
7,0.2777085989639215,"cosh(x1) - cosh(x2 * 0.8737857864769917)"
8,0.1231609715683105,"(x1 * x1) - (x2 * tanh(x2))"
9,0.05483879986719919,"(x1 * x1) - ((x2 * x2) * 0.6671830212495938)"
10,0.009891730600500487,"(x1 * x1) - ((tanh(x2) * 1.3772232039711663) * x2)"
11,0.004454081663654092,"(x1 * x1) - (1.2149213462951338 * (sinh(tanh(x2)) * x2))"
12,0.0012147441514897344,"(x1 * x1) - (tanh(x2 * 0.7055428290710589) * (x2 * 1.5451488900680777))"
13,0.0002996662061244482,"(x1 * x1) - ((x2 * 1.455257230441426) * tanh(sinh(x2 * 0.69793585727312)))"
15,0.0001801607886786263,"((x1 * x1) - ((x2 * 1.427287564340617) * tanh(sinh(x2) * 0.6316745899517379))) - 0.014346705517104912"
19,0.00014563735531703824,"((x1 * x1) - (((x2 * x2) * ((x2 * -0.06072035360128751) + (0.9557847543799401 / x2))) * x2)) - 0.01193295420010908"
20,9.450359461322476e-8,"((x1 * x1) - (((x2 * x2) * 0.44337763601811303) * cos(x2 * -0.6095759568894527))) - ((x2 / 1.8000325045274175) * x2)"
22,1.4859518142825386e-8,"((x1 * x1) - ((0.12977124667480622 - cos(x2 * 0.6148823906519295)) * (x2 * (x2 * -0.43798077729486473)))) - (x2 * (x2 / 1.6170271861272256))"
