Complexity,Loss,Equation
1,2.188960139255856,"0.29625941332960537"
2,1.8483621798358534,"cos(x2)"
3,1.0953232911450685,"x1 * x1"
4,0.7709437851718053,"cosh(x1) - 1.3253056704452149"
5,0.19490330366177055,"cosh(x1) - cosh(x2)"
7,0.10271217875811813,"(cosh(x1) - cosh(x2)) * 1.2593298641269293"
8,0.03724763534862667,"(x1 * x1) - (cosh(x2) - 0.796043042165763)"
10,0.035544610198317506,"((x1 * x1) + 0.7991836445696325) - cosh(x2 + 0.03199350025005054)"
11,0.0167224154481829,"(x1 * x1) - (cosh(x2) - cos(cos(cos(x2))))"
12,0.010678485512266394,"cosh(x1) - (cos(x1) - ((cos(x2) + -1.010235434858623) / 0.4954203633465811))"
13,0.008309327727811929,"cosh(x1) - (sin(cos(x1)) - ((cos(x2) * 2.025367884393155) + -2.1132488242285197))"
14,0.0025525644710899823,"(cosh(x1) * 0.9019639433784249) - (cos(x1) - ((cos(x2) + -0.9316126624606359) / 0.49565575536721357))"
15,0.0011404388890108405,"cosh(x1) - (cos(cos(x1) + -2.3307089749844305) - ((cos(x2) * 2.0120710360105636) + -2.764091964376253))"
16,4.517809723451411e-5,"cosh(x1 * 0.8653224784155235) - ((cos(x1 * -0.8043832116413969) - (cos(x2) + -0.5020477939637079)) * 2.0014083550719057)"
18,1.7616784962419597e-5,"(cosh(x1 * 0.700465873314514) - ((cos(x1 * -0.7383011479609325) - (cos(x2) + -0.9463100360047351)) * 1.0575231010339872)) / 0.5285495620830833"
