Complexity,Loss,Equation
1,1.9868133392569203,"-0.035614866262685715"
2,1.87901271217844,"cos(x2)"
3,1.2019825616319515,"x1 * x1"
4,0.8449363859357945,"cosh(x1) + -1.468002776037797"
5,0.6632399922138346,"(x1 * x1) - 0.7339908510408206"
6,0.5704834395979554,"sinh(cos(x2) - cos(x1))"
7,0.18889555379077957,"(cos(x2) - cos(x1)) * 2.3187932207955932"
8,0.15202422405587954,"(x1 * x1) - (cosh(x2) * 0.531565086150387)"
10,0.11547130907199903,"-0.143091087069375 - ((tanh(x2) - x1) * (x1 + x2))"
11,0.08426424673964909,"-0.10208012642347557 - ((x2 - x1) * (x1 + sinh(tanh(x2))))"
12,0.01690893023609329,"(0.04826752195684188 - (x1 + sinh(sinh(tanh(x2))))) * (x2 - x1)"
14,0.014078207665587766,"(sinh(sinh(tanh(x2) + -0.033129658795495336)) + x1) * (-0.009449511808975018 - (x2 - x1))"
16,0.0066375333470034825,"(((x1 / -1.873286665734962) - tanh(x2 * 0.5858312766149072)) * 1.83896808834676) * ((x2 * 0.9151099537773346) - x1)"
17,0.0065007014293492,"((x1 / -2.311185540219061) - tanh(sin(x2 * 0.473856996300083))) * (((x2 * 0.9149558034645624) - x1) * 2.2685454756430787)"
18,0.006104281147420471,"((x2 * 0.9221533979745399) - x1) * ((((x1 / -1.8402779257840973) - tanh(x2 * 0.5976816004290315)) * 1.812920020629312) - -0.02071096972771495)"
19,0.0059447474133452645,"((x2 * 0.9221282191884648) - x1) * ((((x1 / -2.279312345330958) - tanh(sin(x2 * 0.4814959647140252))) * 2.241340917988683) - -0.021045383884434006)"
20,0.0057906188474898665,"((((x2 + -0.002586908384030725) * 0.9091727117942029) - x1) * 1.8445866080697955) * ((x1 / -1.883767337907296) - (sin(x2 * 0.6051230845206881) / 1.097276429790837))"
24,0.005153867633273488,"((((x2 * 0.6956225882917284) + ((x2 * 0.19704084282474968) - x1)) * (((x1 / -1.7090727793484748) - sin(x2 * 0.5915848355279881)) * 2.1922730591023534)) + -0.053500193687956527) / 1.295827478315497"
26,0.0030168559630858825,"(((((x1 / -1.678893042684192) - sin(x2 * 0.5990524672522534)) * ((x2 * 0.9051129747589295) + (((x2 * x2) * -0.0226136847082596) - x1))) * 2.1960902440645906) + -0.058146692566068525) / 1.2921749057292375"
