Complexity,Loss,Equation
1,1.9053289010787047,"0.1583001445417756"
2,1.7260293985668074,"cos(x2)"
3,1.2161666979596746,"x1 * x1"
4,0.7841733595203111,"cosh(x1) + -1.375797342268835"
5,0.7223552571026173,"(x1 * x1) + -0.7027171829971919"
6,0.5691744097570584,"sinh(cos(x2) - cos(x1))"
7,0.16103391453577187,"(cos(x2) - cos(x1)) / 0.4160841866595206"
8,0.1439517375537781,"sinh(cos(x2) - cos(x1)) / 0.5121183733313267"
9,0.0902061604579417,"(cos(x2 * 0.8404118454073721) - cos(x1)) / 0.3751637539121269"
10,0.012717197607088233,"(x1 * x1) + (x2 * (tanh(x2) * -1.3177343620792021))"
11,0.010611144291960403,"(x1 * x1) + (sinh(tanh(x2) * -1.1166228740076272) * x2)"
12,0.0003646383714834801,"(x1 * x1) + (tanh(x2 * (x2 * -0.2334412726929181)) * 3.9216898990561795)"
13,0.0002685716661376043,"(x1 * x1) + (tanh(x2 * sin(x2 * -0.2338266490963352)) * 3.980005171959552)"
14,0.0002469846779386994,"(x1 * x1) + (tanh(((x2 * x2) * -0.229232282614593) + -0.003828089330606915) * 3.941951994006799)"
16,0.00023353476537812338,"(((x1 - -0.004698107653090627) * x1) + (tanh(x2 * (x2 * -0.2299336232368446)) * 3.9254699487352407)) + -0.015355950724234985"
18,2.406322602984282e-6,"((((x2 * x2) * -0.1169510899499005) + 2.7144873123612685) * (x2 * tanh(x2 * -0.3704377100534899))) + (x1 * x1)"
20,1.9948195515128664e-6,"(x1 * x1) + (((((x2 * (x2 * -0.11623443627653594)) + 2.7033630164799316) * tanh(x2 * -0.37254904089336116)) * x2) - -0.0010063835800686548)"
21,3.754286921558281e-7,"(x1 * x1) + ((x2 * tanh(x2 * -0.5085133017382144)) * (((x2 * -0.059433414309949285) * (x2 - sin(x2))) + 1.9714729336812415))"
23,3.0676299351303047e-7,"((x1 * x1) + 0.0004180802381534065) + ((x2 * (((x2 * -0.05934527289572221) * (x2 - sin(x2))) + 1.9701319996539137)) * tanh(x2 * -0.5092246367014505))"
25,2.7613672510673967e-7,"((x1 * (x1 + -0.0001910144735336404)) + 0.00042590708893889455) + ((x2 * (((x2 * (x2 - sin(x2))) * -0.05936327678607043) + 1.9703395760212632)) * tanh(x2 * -0.509150506209758))"
28,9.995883606123572e-8,"(((x1 / -18.468659592695793) + x1) * (x1 * 1.0573222671982743)) + (x2 * (tanh(-0.5055798636812471 * x2) * ((x2 * tanh((x2 - sin(x2)) * -0.06110630050814461)) + 1.9811068123316828)))"
30,8.507248657323807e-8,"(((x1 * ((x1 / -18.468659438149942) + x1)) + 0.00020411013053162278) * 1.0572750993768212) + (tanh(x2 * -0.5059168186113063) * (((tanh((x2 - sin(x2)) * -0.061060716175525866) * x2) + 1.980424718698091) * x2))"
