Complexity,Loss,Equation
1,2.0442128261379,"0.14253766841952095"
2,1.8009534028018124,"cos(x2)"
3,1.7293707071942839,"cos(sinh(x2))"
4,1.4104559941861896,"cos(x2) + -0.5142738796157745"
5,1.0982438340519494,"(x1 * x1) + -1.268405794494499"
6,1.00372645904822,"(cosh(x1) + -0.9180891146578062) + -0.846421721524811"
7,0.919419528275858,"(x1 * (x1 - 0.212799405894227)) + -0.9119112472195283"
8,0.6559385398057558,"sinh(cos(x2 * 0.8044430103583506) - cos(x1))"
9,0.28199923499575613,"sinh(1.2877324742043719 * (sin(cos(x2)) - cos(x1)))"
10,0.2661105974981469,"(sin(cos(x2) * 1.418302152690253) - cos(x1)) * 1.674331387935349"
11,0.09537722061532326,"sinh((sin(cos(x2 * 0.8477934352393379)) - cos(x1)) * 1.6567159908988127)"
