Complexity,Loss,Equation
1,3.264285651419404,"0.3736260677357373"
2,2.6180072586530327,"cos(x2)"
3,1.3195490622684831,"x1 * x1"
4,1.000741533835535,"cosh(x1) + -1.343422423714757"
5,0.7947696881426526,"(x1 * x1) + -0.7244165749969832"
7,0.370260492509248,"cos(x2) + (cosh(x1) + -1.9812141362338203)"
8,0.2707554894646218,"cosh(x1) + (cos(sinh(x2)) - 1.8550332855785419)"
9,0.13567503394123193,"((cos(x2) * 2.086575458868509) + -2.674222958889635) + cosh(x1)"
13,0.09324977514455457,"(((cos(x2) + -1.3494581906010537) + cosh(x1)) - cos(cos(x2))) / 0.7714693465662772"
14,0.052969294944292845,"((cosh(x1) + -1.290427359903157) + sinh(cos(x2) - cos(cos(x2)))) / 0.7970953260967294"
16,0.05129987639728726,"((((cos(x2) + -0.6976142112950231) * 2.062476855174753) - cos(x1)) - -0.9589331724460128) + (cosh(x1) + -1.449956666773372)"
