Complexity,Loss,Equation
1,3.0851977730967435,"0.14825208918545135"
2,2.238795393628357,"cos(x2)"
3,1.8365566983957573,"x1 * x1"
4,1.2895046664076912,"cosh(x1) + -1.5104295013168147"
5,1.0043016919102628,"(x1 * x1) - 0.9649393819647164"
6,0.7487309417519525,"sinh(cos(x2) - cos(x1))"
7,0.14865569903814563,"(cos(x2) - cos(x1)) / 0.4228018428322942"
9,0.0635180448848947,"(cos(x2 * 0.8543439281646322) - cos(x1)) / 0.37785611770449057"
13,0.03266691055987988,"((cos(x2 * -0.5104843716385364) - cos(x1 * 0.6003766065258734)) / 0.3065634526484845) / 0.5393922459657772"
14,0.0004585753615922772,"((cos(x2) - (0.6369904734312423 - sinh(1.0619162918428235 - cos(x1)))) * 2.005562828949978) + -0.8345666099896698"
