Complexity,Loss,Equation
1,1.9243926258437065,"-0.016345673061772197"
2,1.7756942421468909,"cos(x2)"
3,1.2534369152282234,"x1 * x1"
4,0.8140279278956781,"cosh(x1) - 1.4615686923334386"
5,0.6934851453334925,"(x1 * x1) - 0.7482992515624405"
6,0.4760634462800358,"sinh(cos(x2) - cos(x1))"
7,0.09523229963714247,"(cos(x2) - cos(x1)) / 0.4271638045581757"
8,0.08131467269923831,"sinh(cos(x2) - cos(x1)) / 0.5372386633162136"
9,0.06224330805856629,"(cos(x2) - cos(x1 / 0.8994969996127363)) / 0.44827625020167505"
10,0.015849615903789412,"(x1 * x1) + ((tanh(x2) * -1.2990005695732398) * x2)"
12,0.015846861268798067,"(x1 * x1) + ((tanh(x2 + -0.0039323119739496214) * x2) * -1.298830713632076)"
14,0.006815380577230268,"(sinh(x2 + sin(x2)) * (tanh(x2) * -0.3416511217142418)) + (x1 * x1)"
15,0.004630518658571276,"((sinh(x2 + sin(x2)) * -0.32616861217912513) * tanh(sinh(x2))) + (x1 * x1)"
16,0.0003552577666467834,"(x1 * x1) + ((tanh(x2 / 0.5984988375261353) * sinh(x2 + sin(x2))) * -0.31704725946239676)"
18,0.00015505917918093412,"(x1 * x1) + ((sinh((sin(x2) * 0.9701111668970882) + x2) * -0.3234471948114247) * tanh(x2 / 0.5818850922803304))"
19,5.470473240922799e-5,"(x1 * x1) + (sinh((sin(x2 * 0.982181619843333) + x2) * tanh(sinh(x2 / 0.5871295575912647))) * -0.30878312335540253)"
