Complexity,Loss,Equation
1,2.6323860083939836,"0.17861653812550649"
2,2.090304886070681,"cos(x2)"
3,1.5062850077729193,"x1 * x1"
4,1.0217722367638422,"cosh(x1) + -1.4387634224477233"
5,0.8550351204198057,"(x1 * x1) + -0.8070005497948972"
7,0.19394413103470629,"(cos(x1) - cos(x2)) * -2.3031823518151917"
9,0.14666833557585462,"(cos(x1 * 1.1025775768527575) - cos(x2)) * -2.303182351924708"
12,0.07438087835943355,"(cos(x1) - cos(x2)) * (exp(cosh(tanh(x1))) * -0.6686221880062041)"
14,0.0740914226458754,"(cos(x1) - cos(x2)) * (exp(cosh(tanh(x1 + -0.051139884306906615))) * -0.6686221884672705)"
15,0.07158581563605088,"(exp(cos(cos(cos(x1)))) * -1.3461972626451797) * (cos(x1) - cos(0.7890288028664745 * x2))"
16,7.25785665844527e-23,"(1.1097483761750682 - (((sin(x2 + 1.570796326788082) * 2.000000000000658) + (x1 * x1)) + -0.8902516238276996)) * -1.0000000000008265"
20,7.257825545183386e-23,"(x2 * (1.1097483761750682 - (((sin(x2 + 1.570796326788082) * 2.000000000000658) + (x1 * x1)) + -0.8902516238276996))) * (-1.0000000000008265 / x2)"
24,7.257805195973993e-23,"((1.1097483761750682 - (((sin(x2 + 1.570796326788082) * 2.000000000000658) + (((x1 * x1) + x1) - x1)) + -0.8902516238276996)) * x2) * (-1.0000000000008265 / x2)"
