Complexity,Loss,Equation
1,2.6351754611792946,"0.30847183753871826"
2,2.186629783834162,"cos(x2)"
3,1.2810587305672778,"x1 * x1"
4,0.8265119406604515,"cosh(x1) - 1.3868188874510314"
5,0.20283901106891772,"cosh(x1) - cosh(x2)"
7,0.07116798745854404,"cosh(x1 / 0.9110589308099504) - cosh(x2)"
9,0.05036789492903164,"(cosh(x1) - cosh(x2 * -0.9209314963156904)) / 0.748784367280503"
11,0.02895462007759275,"cosh(x1) - ((x2 * (x2 * 0.7934414365169189)) + cos(x1))"
13,0.00984323561533922,"(cosh(x1) - (((x2 * x2) / 1.2172507956650103) + cos(x1))) / 1.0873237319569558"
15,0.008667947297533602,"(cosh(x1) - (((x2 * x2) / 1.2392187908743952) + (cos(x1) * 1.0623646530655215))) / 1.0941008402708516"
17,0.006995735429613129,"((cosh(x1) - (((x2 * x2) * 0.8389552056513975) + cos(x1 * 1.1516342339189343))) / 1.1289269075344746) - 0.07979806390930788"
19,0.006856595036537017,"((cosh(x1 + 0.008168152382548472) - (cos(x1 * 1.1444697764250888) + (x2 * (x2 / 1.1988987817280128)))) / 1.1246624680841744) + -0.0812237436756852"
23,0.005880819595991973,"(cosh(x1) + (-0.08742703811082449 - ((0.789083924579088 * (x2 * x2)) + cos(x1 * cosh(cos(cosh(cos(1.5962393628124285 + x2)))))))) / 1.0945886992488099"
24,0.005825737636131475,"((cosh(x1) + -0.08787929946033735) - ((x2 * (x2 * 0.7951059395809789)) + cos(x1 * cosh(cos(cosh(cos(sin(x2) + 1.5498250198937722))))))) / 1.098331136763834"
25,0.004571990619172764,"(cosh(x1) + (-0.07302152833863715 - (((x2 * x2) * 0.8156449538420594) + cos(x1 * cosh(cos(cosh((cosh(x2) + -0.08880531658345232) * -0.4513492114785039))))))) / 1.099520760367788"
