Complexity,Loss,Equation
1,2.3148936316117035,"0.1495408290796315"
2,1.866578787332004,"cos(x2)"
3,1.455174734319315,"x1 * x1"
4,0.9450353095652458,"cosh(x1) - 1.438812884068752"
5,0.5576028480771988,"cosh(x1) - cosh(x2)"
7,0.13113592456376583,"(cos(x2) - cos(x1)) * 2.3970549271821766"
8,0.1267725725787709,"sinh(cos(x2) - cos(x1)) * 1.8990276960829182"
9,0.0613529277169346,"(cos(x2 * -0.8589142310804156) - cos(x1)) * 2.6566316040586244"
10,0.05776374611254164,"sinh(cos(x2) - cos(x1 * -1.1279280367666755)) * 1.728642964624537"
12,0.0008622868818281618,"((x1 * x1) - (-6.2262200572548965 / cosh(x2 * 0.5980931933188448))) + -6.204816563200625"
18,0.0005819593718049786,"((x1 * x1) - (-6.311532732570995 / cosh(x2 * (0.596991740726392 / cosh(cos(x2) * 0.3069823941134852))))) + -6.302073228072667"
19,0.00041462988970048556,"((x1 * x1) - (-5.751832500613498 / cosh(x2 * (0.9725486946687513 / cosh(exp(cos(x2) * 0.06183587940780088)))))) + -5.744985802438291"
20,0.0002753719529379129,"((x1 * x1) - (-6.301613224238685 / cosh(x2 * (0.5953559619643165 / cosh((-0.21936380622776275 - cos(x2)) * 0.36249978880789063))))) + -6.3091793936059615"
24,0.0001722580771662412,"(((sinh(tanh(cos(cos(cos(tanh(cos(cos(x2 * 0.5036255892721456)))))))) - (cos(x1 * -0.1887781031330781) * 0.7341718768884378)) / 0.03149911045430932) - -0.5446401410226546) * 2.437850310125898"
26,0.00017203668802645556,"((((sinh(tanh(cos(cos(cos(tanh(cos(cos(x2 * 0.5036957962048729)))))))) - (cos(x1 * -0.18855526823500715) * 0.7360228471472623)) / 0.03473590066702922) - -0.5472025162512958) * 2.0940918101473294) / 0.7790816056798072"
28,5.868697088747013e-5,"((x1 * x1) - (-5.745441815477735 / cosh(x2 * (0.9731968549100829 / cosh(exp((cos(x2) * cos((x1 * 0.3255637493846744) * (x2 + -0.2577819558255812))) * 0.09113013323051797)))))) + -5.7461651428872145"
30,2.9489061263832435e-5,"((x1 * x1) - (-5.261584088147167 / cosh(x2 * (1.0392960753062634 / cosh(exp((cos(x2) * cos((x1 * 0.1925895803125372) * ((x2 + -0.03394713966682279) - 0.21759555666136118))) * 0.12852064112480427)))))) + -5.265593995763903"
