Complexity,Loss,Equation
1,2.8968350779070615,"0.1256477054684911"
2,2.390641921121721,"cos(x2)"
3,1.4772961920928094,"x1 * x1"
4,0.9871261922537411,"cosh(x1) - 1.493672066400511"
5,0.3708588205758553,"cosh(x1) - cosh(x2)"
7,0.27386671430109105,"cosh(x1) - cosh(x2 * 0.9035143765883323)"
8,0.16626563390797852,"(x1 - tanh(x2)) * (x1 + x2)"
9,0.08582108375786246,"(x2 + x1) * (x1 - sinh(tanh(x2)))"
10,0.05658578983307411,"(x1 - (tanh(x2) / 0.6828416082330959)) * (x1 + x2)"
11,0.043833755955516765,"(x1 - (tanh(x2) / tanh(0.9507314204818462))) * (x1 + x2)"
12,0.03596684282799783,"(x1 + x2) * (x1 - (tanh(x2) - (-0.16806227000318721 * x2)))"
