Complexity,Loss,Equation
1,3.6846573798572075,"0.23657306424495475"
2,2.898450432497135,"cos(x2)"
3,1.4921000928858914,"x1 * x1"
4,1.1388904016853543,"cosh(x1) - 1.4360013420176474"
5,0.2555547030916547,"cosh(x1) - cosh(x2)"
7,0.2086498074406364,"(cosh(x2) * -0.922556645910181) + cosh(x1)"
8,0.1171818382048008,"(x1 * x1) + (0.8634614855197954 - cosh(x2))"
9,0.03890876772583073,"((x2 * x2) * -0.695153724607609) + (x1 * x1)"
10,9.115287759828791e-30,"((cos(x2) * 1.9999999999999936) + (x1 * x1)) + -1.9999999999999958"
11,0.0,"((x1 * x1) + (cos(x2) + cos(x2))) - 2.0"
