Complexity,Loss,Equation
1,3.2326759925158433,"0.15714088949429775"
2,2.690061178356857,"cos(x2)"
3,1.660186068659786,"x1 * x1"
4,1.0504734275452146,"cosh(x1) - 1.5288378872181765"
5,0.3765980151811102,"cosh(x1) - cosh(x2)"
7,0.25675334937064986,"cosh(x1 * -1.0542497800037105) - cosh(x2)"
8,0.24352977966294378,"sinh((cos(x2) - cos(x1)) * 1.4345792565039623)"
9,0.23299104593343745,"sinh(sinh(cos(x2)) - cos(x1)) * 1.7735762276391251"
10,0.1390359556654661,"sinh(cos(x2) - (cos(x1) * 1.796142503326787)) + 0.8068972961642223"
12,0.05819825133226211,"(cos(x2) - (cos(x1) * cosh(x1 * 0.6054578681087636))) * 2.1310381600039103"
14,0.01596844367605464,"0.2072905388380704 - ((cos(x2) - (cosh(x1 * 0.5910470265490345) * cos(x1))) * -2.1676009170483472)"
16,0.0012257413392081538,"0.4784513146933768 - ((cos(x2) - (cosh(x1 * 0.5268000456935018) * (cos(x1) * 1.2253629056221689))) * -2.002835050804261)"
18,0.0011583255806621386,"0.48277438025206854 - ((cos(x2) - ((cosh((x1 * -0.5243873744874564) - -0.010047725273462385) * cos(x1)) * 1.2290427455993924)) * -1.9980619758213276)"
19,0.0010440018110483918,"((cos(x1) * -0.45275112025659325) - ((cos(x2) - (cosh(x1 * 0.5740359265746183) * cos(x1))) * -2.0027791194764517)) - -0.4797164860703816"
20,0.0005691452880721371,"((sinh(cos(x1)) * -0.3896930018087455) - ((cos(x2) - (cos(x1) * cosh(x1 * -0.5762335982223101))) * -2.0019288842531204)) + 0.468951439226769"
22,6.484682455527793e-5,"(0.4359414154562345 - ((((cos(x1) + cos(x2)) * 0.6919438033381277) - (cos(x1) * cosh(cosh(x1 * -0.3837279315174069)))) * -2.704100061768874)) * 1.069726451942769"
27,5.5687331557102707e-5,"(0.4351563247314779 - (cosh(x1 * -0.05884574690170354) * ((((cos(x2) + cos(x1)) * 0.6916451694952692) - (cos(x1) * cosh(cosh(x1 * -0.3807364131327619)))) * -2.7034061464382986))) * 1.0677721297760392"
30,5.288892085156007e-5,"(0.43359499278003116 - ((((cos(x2) + cos(x1)) * 0.6919261252523519) - (cosh(cosh(x1 * -0.38060292590734246)) * cos(x1))) * -2.703532373654541)) * (cosh(x1 * (cos(x2) * 0.06438324171627524)) * 1.0673853037501715)"
