Complexity,Loss,Equation
1,2.250115394674351,"0.07181026212727254"
2,1.9125129822441123,"cos(x2)"
3,1.3183469860082366,"x1 * x1"
4,0.8875647492766763,"cosh(x1) - 1.4537826638698705"
5,0.21343802392822028,"cosh(x1) - cosh(x2)"
7,0.19450921642609817,"(cosh(x1) - cosh(x2)) - -0.1375820028457173"
8,0.07408593488794211,"((x1 * x1) + 0.810483865850848) - cosh(x2)"
9,0.047982038877334376,"(x1 * x1) + sinh(cos(x2) - 1.2821060426141528)"
10,2.2913899437556247e-30,"(x1 * x1) + ((cos(x2) * 1.9999999999999973) - 1.9999999999999973)"
11,0.0,"((cos(x2) + cos(x2)) + (x1 * x1)) - 2.0"
