Complexity,Loss,Equation
1,1.4102648831879576,"0.4025787749003854"
2,1.3082057606753574,"cos(x2)"
3,0.7504724391166431,"x1 * x1"
4,0.49306874924944954,"cosh(x1) - 1.1790323362706259"
5,0.21254617838045442,"cosh(x1) - cosh(x2)"
7,0.05481481473901897,"cosh(x1 * 1.1433084217800111) - cosh(x2)"
8,0.04449745675864913,"sinh(cos(x2) - cos(x1)) * 2.12982790105096"
9,0.04424567624424629,"(cos(x2) - cos(x1 / 0.9089669331159641)) * 2.213338045078846"
10,0.010968610948686692,"sinh(cos(x2 / -1.1233561881475953) - cos(x1)) * 2.192388150500723"
11,0.009263334975875958,"(cos(x2 / 3.8143501359014205) - cos(x1 / 3.3952580293745607)) * 23.27371388861584"
12,0.0005956905720824263,"(cos(tanh(x2 / -2.794634255336739)) - cos(x1 / 2.7636001581995013)) * 15.832941637373592"
13,0.0004608552620403657,"(cos(sin(sin(x2 / -2.7445130179380293))) - cos(x1 / 2.7288280591264114)) * 15.447552846093119"
15,0.0002566171732833591,"(cos(sin(tanh((x2 / 0.5386133868284146) / -5.881086602927812))) - cos(x1 / 3.1748530106648483)) * 20.72820369839768"
16,0.00023830207121341897,"(cos(sin(sin(sin((x2 / 0.7877441819204509) / -4.081690982686473)))) - cos(x1 / 3.2193393760469786)) * 21.294653392951588"
18,0.00021723565132652828,"((cos(sin(sin(sin((x2 / 0.7869891663711547) / -4.1532413856012464)))) - cos(x1 / 3.250269541152321)) * 21.747408064441) + -0.009283641160251663"
24,0.0002167334317920557,"(((cos(sin(sin(sin((x2 / 0.7882771374515725) / -4.145564616595179)))) - cos(x1 / 3.2508920373934487)) * 21.748695522878954) + (x2 - (x2 - 0.14140291209321892))) + -0.14959717621847055"
