Complexity,Loss,Equation
1,1.639812471251056,"0.13033682168514762"
2,1.4486147331022,"cos(x2)"
3,1.0623170377009643,"x1 * x1"
4,0.7434703082544903,"cosh(x1) - 1.3453856719122048"
5,0.1812642858310833,"cosh(x1) - cosh(x2)"
7,0.0495945984927283,"(cos(x1) - cos(x2)) * -2.3008749130148547"
8,0.044413820809278665,"((x1 * x1) - cosh(x2)) - -0.8123758172875242"
9,0.013763217674757754,"(x1 * x1) - sinh(x2 * sin(x2))"
10,0.00046666438225464486,"(x1 * x1) - (x2 * sinh(sinh(tanh(x2))))"
12,0.00015852058772761464,"(x1 * x1) - ((tanh(x2 * 0.6417261102378592) / 0.6085720131971598) * x2)"
13,1.1103513303230633e-5,"(x1 * x1) - (x2 * (tanh(sinh(x2 * 0.6692565278145034)) / 0.6693608093235369))"
18,4.023374441810791e-6,"((sinh(x2) + x2) * (sin(x2 - (sinh(x2) * 0.04851592054296117)) * -0.5207365978257966)) + (x1 * x1)"
20,2.8060706373388443e-6,"(x1 * x1) + (-0.001553945076438471 - (sin(x2 - (sinh(x2) * 0.04887448344837633)) * ((sinh(x2) + x2) * 0.5201851865197042)))"
23,1.4590984316289937e-7,"(x1 * x1) + ((x2 + sinh(x2)) * (((x2 - (x2 * 1.499463856126032)) - sin(x2 - (x2 * -0.1842753604172835))) * 0.29640686837285846))"
28,1.0526116596310062e-7,"(x1 * x1) + (((sinh(x2) * 0.22993451685776486) + x2) * sin((x2 - (x2 * 0.8835520407467412)) - (x2 - ((sinh(x2) + (x2 * 2.7516813360141086)) * 0.019013638694687973))))"
