Complexity,Loss,Equation
1,3.802529164032486,"0.34908460895806015"
2,3.0229260109082623,"cos(x2)"
3,1.480621203783412,"x1 * x1"
4,1.1271684152415724,"cosh(x1) - 1.410244536656957"
5,0.33754701883852717,"cosh(x1) - cosh(x2)"
7,0.21826109578225006,"(cosh(x1) * 1.1583907334619297) - cosh(x2)"
8,0.13512819454491004,"(x1 * x1) - (cosh(x2) - 0.859445047917508)"
9,0.045911038823579824,"(x1 * x1) + sinh(cos(x2) + -1.2629851857748833)"
10,1.2039989565935694e-30,"((cos(x2) * 2.0000000000000018) + (x1 * x1)) - 2.0000000000000018"
11,0.0,"((cos(x2) + cos(x2)) + (x1 * x1)) + -2.0"
