Complexity,Loss,Equation
1,1.8120430983498503,"0.12128243031739157"
2,1.4693552618037728,"cos(x2)"
3,1.2931576557414823,"cos(sinh(x2))"
4,0.9037854500589265,"cosh(x1) - 1.4658278277217007"
5,0.2442523124218552,"cosh(x1) - cosh(x2)"
7,0.20370924962176445,"(x1 * x1) - (x2 * x2)"
8,0.12575982955750356,"(x1 * x1) - (x2 * tanh(x2))"
9,0.024568094882937683,"(x1 * x1) - ((x2 * 0.7450844814829617) * x2)"
10,0.001370208328521244,"(x1 * x1) - (sinh(x2) * sin(sin(x2)))"
12,5.789189766783839e-6,"(x1 * x1) - (sin(x2 * 0.6868284848697245) * (x2 * 1.4462026792195724))"
14,4.670620290379158e-6,"((x1 * x1) - (sin(x2 * 0.6856945277097957) * (1.4459033200271258 * x2))) - 0.001669594130819635"
16,1.4023057431389924e-7,"((x1 * x1) - ((x2 * x2) * 0.2082477362706429)) - (sin(x2 * 0.7905954576545068) * x2)"
18,1.1140371041627933e-7,"(((x1 * x1) - ((x2 * 0.2081708579615159) * x2)) + -0.0002701626342983039) - (x2 * sin(x2 * 0.7903623101272976))"
20,1.1019160817112828e-7,"((x1 * x1) - ((x2 * ((x2 + -0.00016335102484778545) * 0.20816866863989725)) + 0.00026899536642676264)) - (sin(x2 * 0.7903703590884277) * x2)"
22,1.040694253837799e-7,"((x1 * x1) - ((((x2 + -0.0005224156428573637) * x2) * 0.20816097780006926) + 0.0002606325408479178)) - (sin((x2 + 0.0002792693825171865) * 0.7904061631071517) * x2)"
24,1.0378383987342751e-7,"((x1 * x1) - ((((x2 + -0.0010487899996220313) * x2) * 0.20816081324907226) + 0.0002607366916166908)) - ((x2 - -0.00022117324704816086) * sin((x2 + 0.00019333331801069922) * 0.7904070080445629))"
28,1.036179683928522e-7,"((x1 * x1) - ((((((x2 + -0.00018596628571768476) - 0.0004652356682267875) + -0.0007083819285624549) * x2) * 0.2081607854741564) + 0.0002604017213439472)) - ((x2 - -0.00034907492867663093) * sin((x2 + 0.0001464102350056559) * 0.7904074703762197))"
