Complexity,Loss,Equation
2,4.631399591766092,"sinh(x1)"
3,2.3782350295793617,"sinh(cos(x2))"
6,2.339813405186365,"cos(cosh(tanh(x2 / x1)))"
7,2.0127705891826655,"cos(tanh(x2 / x1) / x1)"
8,1.9231927325243794,"cos(tanh(x2 / x1) / tanh(x1))"
9,1.6297640636883264,"cos(sinh(sinh(sinh(sinh(tanh(x2 / x1))))))"
10,1.5699723185881098,"sinh(cos(sinh(sinh(sinh(sinh(tanh(x2 / x1)))))))"
11,1.5288963171834777,"sinh(sinh(cos(sinh(sinh(sinh(sinh(tanh(x2 / x1))))))))"
12,1.515390655902437,"sinh(sinh(cos(sinh(sinh(sinh(tanh((x2 / x1) / x1)))))))"
13,1.413288378509909,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh((x2 / x1) / x1))))))))"
14,1.4004870874135589,"sinh(sinh(sinh(cos(sinh(sinh(sinh(sinh(tanh((x2 / x1) / x1)))))))))"
15,1.3190107902956938,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(((x2 / 0.7639811745059509) / x1) / x1))))))))"
16,1.310217788653339,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(((x2 / tanh(x1)) / x1) / x1))))))))"
20,1.3063492304269917,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(sinh(sinh(sinh(sinh(tanh((x2 / x1) / x1))))))))))))) + -0.20013981467222644"
21,1.301292381905212,"sinh(sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(sinh(sinh(sinh(sinh(tanh((x2 / x1) / x1))))))))))))) + -0.20013981467222644)"
22,1.3001803375599237,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(sinh(sinh(sinh(sinh(sinh(sinh(tanh((x2 / x1) / x1))))))) / x1))))))))"
23,1.293924105090214,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(sinh(sinh(sinh(sinh(sinh(tanh((x2 / x1) / x1)))))) / x1)))))))) + -0.08454841214303242"
24,1.2910908209851917,"sinh(sinh(sinh(cos(sinh(sinh(sinh(tanh(sinh(sinh(sinh(sinh(sinh(sinh(tanh((x2 / x1) / x1))))))) / x1)))))))) + -0.09533895619957002"
