Complexity,Loss,Equation
1,2.383537449439129,"0.040898219267952785"
2,2.0364357420804016,"cos(x2)"
3,1.412995267513625,"x1 * x1"
5,0.7847031127173595,"(x1 * x1) - 0.7926488166886039"
9,0.722332287029127,"(sinh(tanh(x1)) * sinh(x1)) - cosh(x2)"
10,0.6348298552489063,"(sinh(tanh(sinh(x1))) * sinh(x1)) - cosh(x2)"
11,0.5721766444908115,"(sinh(tanh(sinh(sinh(x1)))) * sinh(x1)) - cosh(x2)"
12,0.3233865692042259,"(sinh(tanh(sinh(x1))) * sinh(x1)) - (cosh(x2) * 0.8339915785780216)"
13,0.28407233322235975,"(sinh(tanh(sinh(sinh(x1)))) * sinh(x1)) - (cosh(x2) * 0.8339915785780216)"
14,0.19662123984292135,"((sinh(tanh(sinh(x1))) * sinh(x1)) - (cosh(x2) * 0.8339915785780216)) + 0.1606105405166476"
15,0.14760972477535356,"((((x1 - sin(x2)) * x1) + (x2 * x1)) - cosh(x2)) - -0.9862277699903383"
17,0.08092977530048512,"((x1 - sin(x2)) * x1) + ((((x2 * x1) - cosh(x2)) - -0.7091218958080838) * 0.8043940671517481)"
19,0.0776537897870437,"((x1 - sin(x2)) * x1) + (((((x2 * x1) - cosh(x2)) - -1.4443530608589046) * 0.8339442557674098) - 0.62917216254595)"
