Complexity,Loss,Equation
1,2.227398033224538,"0.09332058141521792"
2,1.8770542777520152,"cos(x2)"
3,1.8695522956170085,"sin(cos(x2))"
4,1.283098041033813,"cosh(x1) - 0.7649507385842783"
5,0.7425344744800951,"(x1 * x1) + -0.762456354676075"
6,0.7366132647842565,"tanh(-0.8419973742666139) + (x1 * x1)"
7,0.3676299267611715,"(cos(x2) * cosh(x1)) - 0.9241685804397131"
17,0.16841159769306846,"(sinh((cosh(x1) - cosh(cos(x2) - cosh(cos(x1)))) * 0.05926817485277834) / 0.10320143656259431) / 0.48462688483897887"
21,0.09060109318785531,"(sinh((cos(x2) + ((cos(2.5849980286229433 - x1) + 0.23890951373220776) * 0.9352671140522572)) + cos(3.6379679933600313 - x1)) + -0.2356720237632489) - -0.6040090806050397"
24,0.06749663361165259,"(sinh((cos(x2) + (((cos(2.7282299302947144 - x1) + cos(x2)) + 1.1246328391765177) * 0.322646017793079)) + cos(x1 - 3.2568767195483352)) + -0.4820920483197001) - -0.07895820123079735"
