Complexity,Loss,Equation
1,1.6036442447649506,"-0.04362557517020905"
2,1.5717526258803398,"cos(x2)"
3,1.3301784645905321,"x1 * x1"
4,0.8097394193703551,"cosh(x1) + -1.4814802492374997"
5,0.5526097013205875,"cos(x2) - cos(x1)"
6,0.43698328701927003,"sinh(cos(x2) - cos(x1))"
7,0.0898626267925872,"(cos(x2) - cos(x1)) * 2.234859945638019"
9,0.030811841191251573,"(cos(x2 * -0.8594162450118641) - cos(x1)) * 2.5666633136236294"
11,0.01834459237254543,"(cos(x2 * -0.5801501124834729) - cos(x1 * -0.6693117706493715)) * 4.886844521320348"
12,0.0009190350371257158,"11.550145491181533 * (cosh(x1 * -0.4061148388213619) - cosh(tanh(x2 / 2.391955358297694)))"
13,0.0005383062018506777,"tanh(cosh(x1 * -0.40621335093892236) - cosh(tanh(x2 / 2.3996439607782363))) * 11.738189161248926"
14,0.00046103846938791806,"tanh(sin(cosh(x1 * 0.40398925774064665) - cosh(tanh(x2 / 2.419566000677056)))) * 11.965198336800883"
16,0.0002918184925580358,"17.294999556617363 * (cosh(x1 * -0.3343659697801045) - cosh((sinh(x2 / -2.0619657806521134) + x2) / 1.538758028698924))"
18,0.0001902323921806317,"(cosh(x1 * 0.2974570766463913) - cosh((sinh((x2 / -2.0657354704763953) + 0.0002099520052397028) + x2) / 1.7359233419126803)) * 22.00477826575765"
21,0.00016384600740341533,"(cos(cosh(x1) * 0.33803790327452365) + 16.698563451704395) * (cosh(x1 * -0.3352370496017338) - cosh(tanh(sin((x2 / -1.5104174126637144) / -1.9410762681500702))))"
22,0.00015202923792757698,"(cos(cosh(sinh(x1)) * 0.07716807956834794) + 16.130543355888978) * (cosh(x1 * 0.339219704957596) - cosh(sin(tanh((x2 / -1.2655378380808529) / -2.277277991769613))))"
24,0.00015037281088619387,"(17.156783524017655 + cos((0.007756275383398795 + x2) / (-1.9532884980057628 / x1))) * (cosh(x1 * -0.33021822733097644) - cosh(tanh(sin((x2 / -1.5258858316689208) / -1.9532884980057628))))"
27,0.00011790067149621991,"(cosh(x1 * -0.3345742762083594) - cosh(tanh(sin((x2 / -1.5114825309422324) / -1.9420972361433024)))) * (cos((x1 * ((-0.5049147834050195 / cosh(x2)) / -0.8349172346761515)) - x1) + 16.711564285833816)"
28,0.00010730480046317558,"(cos(x1 - tanh((-0.6687546834248476 / cosh(x2)) * (x1 / -0.7507131192753127))) + 16.762216218525072) * (cosh(x1 * -0.33397212392695164) - cosh(tanh(sin((x2 / -1.5132663973875957) / -1.9434856298129057))))"
29,9.87421591331557e-5,"(cos(x1 - tanh((x1 * (-1.9422768355975795 / cosh(cosh(x2)))) / -0.7352207567442233)) + 16.70730843845176) * (cosh(x1 * -0.33388152561970597) - cosh(tanh(sin((x2 / -1.5115461844073388) / -1.942146243399562))))"
