Complexity,Loss,Equation
2,8.216021058297008,"sinh(x2)"
3,4.476350741377225,"tanh(exp(-0.7023316742845783))"
4,4.004638951949141,"sinh(sin(exp(x2)))"
5,4.002090157764906,"sinh(sinh(sin(exp(x2))))"
7,3.9588984256741013,"sinh(sinh(sin(exp(x2 / x1))))"
9,3.6374289768210613,"sinh(sinh(sin(exp((-1.118381583305484 * 0.5480850741424528) / x1))))"
10,3.3156071584548488,"sinh(sinh(sin(exp(-1.118381583305484 * (sin(x2) / x1)))))"
12,3.303514712084565,"sinh(sinh(sin(exp(-1.118381583305484 * (x2 * (sin(x2) / x1))))))"
13,3.2663350669510174,"sinh(sinh(sin(exp(-1.118381583305484 * ((sin(cosh(-0.12361874893071972)) / x1) * x2)))))"
14,3.2418206441798874,"sinh(sinh(sin(exp((-1.118381583305484 * (sin(cosh(sin(x2))) / x1)) * x2))))"
16,3.1985548074453662,"sinh(sinh(sin(exp(((-1.118381583305484 * sin(cosh(sin(x2)))) / x1) * x2)))) - x1"
18,3.132550061207743,"(sinh(sinh(sin(exp(((sin(cosh(sin(x2))) * -1.118381583305484) / x1) * x2)))) - x1) - 0.22990226307445472"
30,3.1183078586154505,"(sinh(sinh(sin(exp(((sin(cosh(sinh(sin(exp(((sin(cosh(sin(sin(x2)))) * -3.697255289321664) / x1) * x2))))) * -0.8928288070268098) / x1) * x2)))) - x1) - 0.2695050055861325"
