Complexity,Loss,Equation
2,6.3348393418685625,"sinh(x2)"
3,2.285081060202037,"cos(sinh(x2))"
4,2.1825365805191157,"cos(x2 / x1)"
5,2.1209461162192063,"cos(sinh(x2 / x1))"
6,1.992543726269517,"sinh(cos(tanh(x2) / x1))"
7,1.9362343949656102,"sinh(sinh(cos(tanh(x2) / x1)))"
8,1.9279264239277714,"sinh(cos(tanh(x2) / (0.9178264379284437 * x1)))"
9,1.698017947466788,"sinh(sinh(cos(tanh(x2) / x1))) - 0.48807422334079786"
11,1.675655472128272,"sinh(sinh(cos(tanh(x2) / (x1 * -0.9700675188694904)))) - 0.47722564462664746"
12,1.6181945580930792,"sinh(sinh(sinh(cos(tanh(x2) / (x1 * 0.9716471616088297)))) - 0.3364700316266366)"
