Complexity,Loss,Equation
1,3.7778111185436147,"0.4597176174467234"
2,3.129790750290155,"cos(x2)"
3,3.0896890424542987,"sinh(cos(x2))"
4,2.836740955120807,"cos(x2 / x1)"
5,1.3891882905991895,"sinh(x1 * tanh(x1))"
6,1.079184446595179,"(-0.1589151712949171 + cosh(x1)) - 1.153366581734288"
7,0.8988138111253231,"(x1 * x1) - (x2 / x2)"
8,0.5610593870204235,"(x1 * x1) - (sinh(x2) / x2)"
10,0.4089049169030481,"((x1 * x1) - (sinh(x2) / x2)) + 0.390069827230787"
11,0.2941519074842831,"((cosh(x1) - (x2 * x2)) + 0.23062697989726452) - cos(x2)"
