Complexity,Loss,Equation
1,2.1264079906678406,"-0.033549035850132136"
2,1.894538047582332,"cos(x2)"
3,1.6925811548335254,"cos(cosh(x2))"
4,0.9829374963861504,"cosh(x1) - 1.6110930031605497"
6,0.9433269346265327,"tanh(cos(x2)) - cos(x1)"
7,0.8078261495774289,"sinh(sin(cosh(x2)) - cos(x1))"
9,0.7614434458260869,"sinh((sin(cosh(x2)) - cos(x1)) * 1.0432415805224011)"
11,0.5025900182494921,"sinh(sinh(cos(x2 - -0.09332726905807835)) - cos(x1)) - 0.0004874255454828283"
14,0.3847873042562938,"sinh((sinh(cos(x1) * -1.374771099498379) - -1.2457281956576234) - (x2 * (x2 * 0.17941751109827941)))"
17,0.25330963160287184,"tanh(0.12365659282720311 - cos(x1)) + (cos(x2) + (tanh(cos(x2)) - cos(x1 / 0.896919039013257)))"
18,0.2352549686908793,"sinh(cos(x2) - (tanh(cosh(tanh(x1)) - (x1 * ((x1 + 0.017189143299564977) / 1.3218501635990776))) / 0.6491708718396444))"
19,0.1865523212891631,"sinh(cos(x2) - (tanh(cosh(tanh(tanh(x2))) - (x1 * ((x1 + 0.025336688906182528) / 1.5833890142339317))) / 0.669943750071126))"
29,0.1408254675418764,"sinh(((x2 - cosh(x1 + 0.06805491941650987)) * -0.32689272102330325) + (cos(x2) - sinh(((x2 - (cos(x1) + cos(x1))) * -0.19886709181962847) + sin(cos(cos(cos(x1)))))))"
