Complexity,Loss,Equation
1,1.8632380217079774,"0.21005760104594262"
2,1.5523397380431732,"cos(x2)"
3,1.2152143804584237,"x1 * x1"
4,1.1282875921097086,"x1 * tanh(x1)"
5,1.0360640965573242,"sinh(x1 * tanh(x1))"
6,1.0340465914144472,"sinh(x1 * sin(tanh(x1)))"
7,0.3633670641524988,"sinh(sinh(cos(x2) - cos(x1)))"
8,0.3469152709614325,"sinh(sinh(cos(x2) - sin(cos(x1))))"
10,0.29294272035347785,"(tanh(x1) * sinh(x1)) - (cosh(x2) * 0.3815922218434642)"
11,0.27926500707442004,"sinh(sinh((cos(x2) - sin(1.6429368 + x1)) + 0.055338701124956084))"
12,0.24799097777742543,"(tanh(x1) * sinh(x1)) - (cosh(x2 / 1.0) * 0.5862181339541676)"
13,0.12198140759157729,"sinh(sinh(sin(sin(cos(x2) - cos(x1 - -0.001021771421333911))))) * 2.646823575345351"
16,0.09295500937871722,"((tanh(x1) * sinh(x1)) - (cosh((x2 / 0.9518363054506698) / 0.9518363054365709) * 0.6597771289045204)) + 0.5086512048097312"
20,0.04898463354853603,"sinh(cos(exp(cos(cosh(x1) + -0.8144118900603242) / 1.1350557511880623)) - sinh(cos(x2 * -1.2291944134305586) * -0.7601342233016863)) * 1.563909474737607"
