Complexity,Loss,Equation
1,2.579236967642828,"0.04303367585500042"
2,2.2051454000308626,"cos(x2)"
3,1.4022773685002274,"x1 * x1"
5,0.7377396469182567,"(x1 * x1) + -0.8151918311567706"
6,0.6439235775728197,"sinh(cos(x2) - cos(x1))"
7,0.23868934432875197,"(cos(x2) - cos(x1)) * 1.9280795612681656"
8,0.10670364377854707,"sinh(cos(x2) - cos(x1)) * 1.8724954618616312"
9,0.022595836357191968,"(x1 * x1) + (x2 * (x2 * -0.7589842279069692))"
13,0.021168759785405878,"(x1 * x1) + ((x2 * (x2 * (-0.32757856866244656 * 2.3169532457694593))) - 0.10455301779210019)"
17,0.014863496356355324,"((x1 * (x1 + 0.9942216285227256)) + (((0.039170209863756716 - x2) * (x2 * 0.7143197180253644)) - x1)) + -0.10726823520332561"
29,0.01486349635635532,"(((((((x1 + 0.8543076148278296) * x1) + ((x2 * (0.039170205813925746 - x2)) * 0.7143197170310198)) + (x1 * 0.1399140140342576)) + -0.15296153804007123) + ((x2 * 0.005229731696006577) / x2)) + 0.04046356968764892) - x1"
