Complexity,Loss,Equation
1,2.1603879061711124,"0.03763188768346254"
2,1.819920282051893,"cos(x2)"
3,1.1794225496116977,"x1 * x1"
5,0.7044483155790602,"(x1 * x1) + -0.6891837453508181"
6,0.4743928898572423,"sinh(cos(x2) - cos(x1))"
7,0.06188470614060363,"(cos(x2) - cos(x1)) / 0.43770205493474584"
10,0.06021736970545602,"(cos(x2 * -0.7824064078015889) - sinh(cos(x1))) * 2.4261226201741315"
13,0.022150917217238265,"((cos((x2 + x2) * 0.40675065468516747) + -0.043065827744713174) - cos(x1)) * 2.627897862538464"
14,0.019606397311472124,"(sinh(cos((x2 + x2) * 0.37444906982862464) + -0.13974253301583756) - cos(x1)) * 2.6381357610408354"
16,0.018605199551297517,"(-0.1484454601925956 + ((sinh(cos((x2 + x2) * 0.37139421704943765)) * 0.9571195636842202) - cos(x1))) * 2.633507337784394"
