Complexity,Loss,Equation
1,2.4729573296512224,"0.12202840764148087"
2,1.9562343612484931,"cos(x2)"
3,1.7360319448835109,"x1 * x1"
4,1.2216014943544664,"cosh(x1) - 1.4694562637021773"
5,1.0504629159193355,"(x1 * x1) - 0.8008866936131694"
7,1.0277879076854222,"((x1 - -0.15211150694329748) * x1) + -0.8196871336459358"
8,0.3314617024596317,"tanh(cosh(x1) - cosh(x2)) * 2.6117700916661315"
10,0.29176802238496186,"2.2706273 * tanh(cosh(x1) - cosh(0.8659014589036643 * x2))"
13,0.13054423644064259,"(cosh(x1) - (exp(tanh(0.6214144669082774 - cos(x2))) / 0.49451923732164726)) + 0.7064499375864981"
16,3.3954843557019975e-19,"(-0.05439172237876385 - (((((x1 * -0.8852771535775689) * x1) - -1.674250808265816) / 1.7705543070455465) - cos(x2))) * 1.9999999997057685"
