Complexity,Loss,Equation
1,2.6056332420599095,"0.11281132120413864"
2,1.955565004248038,"cos(x2)"
3,1.6526371245672657,"x1 * x1"
5,0.896345515640201,"cos(x2) - cos(x1)"
6,0.6124011053649512,"sinh(cos(x2) - cos(x1))"
7,0.09108916174929567,"(cos(x2) - cos(x1)) / 0.43552954130891164"
9,0.03663402718282453,"(cos(x2 * 0.8693192982937504) - cos(x1)) / 0.3986134213199431"
11,0.02030344670599471,"((cos(x2) - (cos(x1) / 0.7524911342556393)) * 2.0085447274866195) + 0.5700605518653867"
13,0.02000636898678643,"(sin(x1 + 1.561102902595237) * -2.6729676289947046) + ((cos(x2) / 0.49713289931909277) - -0.5710527972264683)"
14,0.0004642081072778049,"((sinh(1.054503110162614 - cos(x1)) + sin(x2 + 1.570496176372191)) + -1.0457778426416933) * 2.009777093357805"
16,0.0004092130003589093,"(sin((x2 * -0.9893702263022203) + 1.5716803691754115) + (sinh(1.0381602166086081 - cos(x1)) + -1.0331396173171996)) * 2.0305778458375126"
18,0.00040921299994680597,"((sinh(1.0381599862638835 - cos(x1)) + (0.002056837421946314 + sin((x2 * 0.9893700815738362) + 1.5699122359645346))) + -1.0351959576361818) * 2.030578103885024"
25,5.523361352044388e-5,"(((sinh(0.9824165331923702 - cos(x1)) + -0.9037272001767311) - (((-0.20527470682609128 - cos(x1)) * 0.11770208479442686) / -1.7214892536170843)) + sin((x2 - 0.0903913095408078) + 1.6607428724212443)) * 1.9992991284007078"
