Complexity,Loss,Equation
1,1.6931948586853545,"-0.05722105388747424"
2,1.5230556443178502,"cos(x2)"
3,1.4835604978762569,"cos(cosh(x2))"
4,0.9561171244608734,"cosh(x1) + -1.5352994196122385"
5,0.5711249569220415,"cos(x2) - cos(x1)"
6,0.3973930758747872,"sinh(cos(x2) - cos(x1))"
7,0.2570077645639746,"(cos(x2) - cos(x1)) * 1.498499796297642"
9,0.09209894271878312,"((cos(x2) * -1.0215591733848248) + cos(x1)) * -2.180493984839516"
11,0.024501494632396446,"(cos(x1) + ((cos(x2) + 0.2940313549164238) * -0.7410647438637624)) * -2.6928640539284268"
12,0.002945787565723732,"(cos(cosh(x1 / -1.3877928504837136)) + (cos(x2) * -0.5534071222081893)) * -3.586717639409673"
14,0.002885461217129749,"(((cos(x2) * -0.5439720015999743) + cos(cosh(x1 * 0.7124527207970666))) * -3.6456145393286703) - -0.03644232277177726"
18,0.0028000083830535196,"(((((cos(x2) * -0.5309537944559962) + cos(cosh(x1 * 0.7058705308022505))) * -3.734512187113137) + 0.08507694354548645) * x1) / x1"
20,0.00013364132409025058,"((((cos(x2) + exp(cos(sinh(x1) * 1.1735696442670738) + -1.7229670186336419)) * -0.6053265382537593) + cos(x1)) * -3.310804954362939) - -0.3417857795532984"
22,3.5512910876634266e-5,"((((exp((cos(sinh(x1) * 1.2025574012313622) * 0.8892026444603348) + -1.6119041081994392) + cos(x2)) * -0.6109698029818742) + cos(x1)) * -3.2773281288487457) - -0.304526082614201"
