Complexity,Loss,Equation
1,1.8634508792752758,"0.3086106539701189"
2,1.5103981462214389,"cos(x2)"
3,1.4000913339047951,"x1 * x1"
4,0.8748261590568133,"cosh(x1) - 1.3383564951946494"
5,0.35204864197960317,"cosh(x1) - cosh(x2)"
7,0.2818574206800777,"(cosh(x1) + 0.26493625923324227) - cosh(x2)"
9,0.03442788680712761,"((x2 * -0.713483780713215) * x2) + (x1 * x1)"
10,0.008027574380834134,"((tanh(x2) * -1.3855667784513068) * x2) + (x1 * x1)"
12,0.004755239321238903,"((x2 * (tanh(x2) * -1.4470340010374287)) + 0.07753684104324303) + (x1 * x1)"
14,3.541322752468699e-7,"(((x2 * -0.20839850733901247) + sin(x2 * -0.7899475155843944)) * x2) + (x1 * x1)"
16,3.5413227524682323e-7,"((x2 * (-0.20839850734401236 * x2)) + (x1 * x1)) + (sin(x2 * -0.789947515676322) * x2)"
18,6.787975403583725e-8,"((x1 * x1) + ((sin(x2 * -0.7980731644673723) + (x2 * -0.22667560715693486)) * (x2 * 0.9747218186250817))) + -0.00021185210621104148"
