Complexity,Loss,Equation
1,0.9783247982539771,"-0.3634584054544184"
3,0.5412747014523128,"cos(cosh(x2))"
4,0.17975186014237082,"1.2660608132167936 - cosh(x2)"
6,0.07771447388271162,"cosh(sin(x1)) - cosh(x2)"
7,0.056560571492091836,"cosh(sinh(sin(x1))) - cosh(x2)"
8,0.009823370559789294,"(cos(x2) - cos(sin(x1))) * 1.994160512837717"
9,0.003951615579229462,"(cos(x2) - cos(sinh(tanh(x1)))) * 1.9738351166066277"
10,0.0008865893762566788,"(cos(x2) - cos(tanh(sinh(sinh(x1))))) * 2.003657858600324"
11,0.000319828238050626,"(cos(x2) - cos(tanh(sinh(x1)) * 1.0702701530825636)) * 2.000250852561317"
12,0.0003197106610629142,"(cos(x2) - cos(tanh(sinh(sinh(x1))) * -1.022262547398661)) * 2.0060794387022742"
13,0.00018214023529834931,"(cos(x2) - cos(tanh(sinh(x1 * -1.0388507900644517)) * -1.0559254051481555)) * 2.0069112916794274"
14,8.058113940463918e-6,"(cos(x2) - cos(sinh(tanh(sinh(x1 * 1.1453150869547783))) * -0.8916659174148922)) * 2.001554727432549"
15,3.4484650625531707e-6,"(cos(x2) - cos(sinh(sinh(tanh(sinh(x1) * -1.360292622469196))) * 0.7142204102930425)) * 1.998735943857376"
16,5.255429003408173e-7,"(cos(x2) - cos(sinh(tanh(sinh(x1 * 1.168856787649491)) * -1.122743185714087) * -0.761429776541205)) * 2.0000452028358184"
18,5.203662041462782e-7,"(cos(-5.2074697148781605e-5 - x2) - cos(sinh(tanh(sinh(x1 * 1.169109835862731)) * -1.123531798780676) * -0.7606546407329798)) * 2.000033689173156"
20,5.100570754906791e-7,"((x1 * 0.00011654964958676513) + 2.0000738746587796) * (cos(x2) - cos(sinh(tanh(sinh(x1 * 1.1685156668270833)) * -1.1207513724018012) * -0.7633149752351209))"
21,4.879070529178331e-7,"(cos(x2) - ((8.180737004913217e-6 / cos(x1)) + cos(sinh(tanh(sinh(x1 * 1.1683130682782108)) * -1.1199494294799945) * -0.7641291599243472))) * 1.9999895067911972"
22,4.5670655073680294e-7,"(cos(x2) + ((cosh(sinh(x1)) * 1.1151383620265398e-5) - cos(sinh(-1.1197337092458277 * tanh(sinh(x1 * 1.1686740584395532))) * -0.7641171218918679))) * 2.0000862779828954"
24,3.284094565607146e-7,"((cos(x2) - cos(sinh(tanh(sinh(x1 * 1.1706904773078701)) * -1.1200900295290375) * -0.7623970788347069)) * 2.0001091973483747) + (0.0015678678698872977 / (1.4175745573772511 / (x1 * x1)))"
28,3.0728262676484114e-7,"(-0.000159463338855084 / (0.31108518482181496 / ((x1 * (x1 * -2.048557989368601)) + 0.5165834046014293))) + ((cos(x2) - cos(sinh(tanh(sinh(x1 * 1.1705720102342057)) * -1.1197060448184064) * -0.7629714805115602)) * 1.999936213224449)"
