Complexity,Loss,Equation
1,0.9520429604987861,"-0.43401496731057143"
3,0.6542738262431989,"cos(cosh(x2))"
4,0.15420099275849672,"1.2792135564561988 - cosh(x2)"
6,0.1342473491754374,"(0.7555005322271446 - cos(x2)) * -1.9794488483424904"
7,0.13323404450886117,"((x2 * -0.704375000143782) * x2) + 0.37516344123235895"
8,0.1299945325388754,"(cos(x2 / 1.3521013148624055) - 0.8603440329201455) / 0.32211807149512994"
10,0.12995005470366247,"(4.284651998472802 - (cos(x2 / -1.4233204084435962) / 0.20382353193433003)) * -0.6893553269175736"
11,0.038628525637716044,"((cos(x1) + 1.7207960914606972) - (cos(x2) / 0.32933921452434733)) * -0.6407864556971178"
12,0.0131470252697207,"((exp(cos(x1)) + 0.9779851309260676) - (cos(x2) / 0.2578882888852912)) * -0.5066472815560841"
13,0.006856030093606365,"(cos(x1 * -1.6506037627566328) + (2.405972986021432 - (cos(x2) / 0.2855742133768553))) * -0.5631603511136003"
14,0.000678216780716281,"((exp(cos(x1 / -0.667346847469501)) - (cos(x2) / 0.23050240319149704)) + 1.6824870427942005) * -0.45737764697887257"
18,0.00019800268801337952,"((exp(cos(exp(cos(x1 * 1.1475264598234225)) + 3.158005139691829)) - (cos(x2) / 0.24131529531681953)) + 1.6411417795825458) * -0.48296524914025696"
