true_complexity,true_equation,true_stdev,found_loss,found_equation
21, (((x2 / (-1.3121885226142032 / x2)) + x4) * (x2 + -0.9270451976451783)) * exp(cos(x5 + ((2.640833811927969 - x3) * x1)))                                                                                                                                  ,283.6730731866916,33387.26528437352, x5 + (((-16.11852913836739 + (((log(x5) + (cos(x5) - -13.471576578332526)) * x2) - x2)) - x3) * (sqrt(x4 + x2) - x2))
26, (0.889758134323455 - cos((-0.5579692881660584 * x2) - x1)) * ((x1 * 0.668823681836594) - ((0.41320430893186977 + (1.6420626102177398 * (x1 * 2.0980163760262105))) * (x2 * (x2 - x1))))                                                                   ,355.5182017760305,22329.841089613023, (((1.8677049149506384 - cos(x2 - cos(x1 - 0.544798666416419))) * ((x1 + ((cos(x1 - 1.2064208790998117) * 2.23989795752764) - x2)) * (x2 - -1.9943351810346484))) - x2) * x1
23, (x2 * x2) * (((0.9818400804070693 * ((x3 + x2) - x2)) / -0.39171109812712146) - ((14.134540761325296 + cos(x2)) - (0.0021409952052938814 * exp(x4))))                                                                                                     ,825.9669434023186,5883.247352583378, ((-1.6318942576986628 + x2) * (((sqrt((exp(x4) - -13503.511318168656) / 0.2481995660820139) - (x2 * (x3 + 1.5745465098310802))) / 0.33735192916454354) + -791.3615747083307)) - (sqrt(x3) * 29.28155367756061)
27, ((0.5255544538253518 - x3) * ((cos(cos(-1.3145491247070897 * (x1 - x1))) / 0.027130196796354405) * (-0.20902046623719983 * x2))) / exp(cos(x2 / (-1.307840181916414 / (x2 - 7.991021464931823))))                                                         ,151.02347181166502,1189.7557832757952, ((((cos(x2) + -0.4530478100051937) + (cos(3.426366674576429 + exp(cos(exp((x2 - -1.6597622429095726) / 3.282100292562158) + -3.354341741348361))) * (x2 - 1.4461631558915329))) + x2) * (x3 / 0.18215317334136527)) - x5
25, ((sqrt(x2) * (((2.1550832986870465 - x4) - sqrt(x5)) * x4)) - exp(cos(x5 * -0.5205360839120978))) * ((x3 + -1.7506425285052436) + (x2 - 0.9187919099050309))                                                                                              ,795.094477424899,1173.3168451650745, (((((x3 - (6.023439009123716 - (3.925471348539023 * sqrt(x2)))) * x4) + log(x5)) * (-0.2544872026132364 * ((x2 + (-1.432589886773742 + sqrt(x5))) - -2.497470055608535))) * x4) + -1.365317067361811
17, exp(((1.485035504085099 - log(x2)) / (-0.5917667741788188 - x4)) + (sqrt(x1 + x4) + sqrt(x2)))                                                                                                                                                            ,302.86164869088384,731.0165219923782, ((x2 * ((x2 - ((x1 * -0.5002044185193242) - x4)) * (x1 + exp(x4 * 0.177124038406947)))) / 1.9862765042477022) + x4
23, exp((-0.3429690627655928 + exp(x1 - x1)) + (-1.8069866356459188 / ((x1 * -0.2536853842277518) / (((-1.2124271671863467 + x1) / 1.5386387296726767) + (x1 * 0.5802349913430817)))))                                                                        ,2369.5543558146933,540.4107813815953, ((((((x1 * ((((x1 * -0.3625223262530602) + 11.959951361021016) * x1) + -148.64954782397612)) - -798.8931999443104) * x1) - 770.0829432686791) * x1) + 134.2361450469044) - cos(exp(x1))
25, exp(cos(x3)) * (((x3 * 1.2157433259125618) / (exp(x1) * 0.13697909194767657)) * ((cos(0.5204676932736179 + (0.0339928394044906 + x2)) * x2) - (x2 + x3)))                                                                                                 ,178.0883104609184,353.18248080863503, (exp(cos(0.5774077082114227 + x2) / -2.645363767862091) * (((-23.146105419540415 * x3) + 2.081364257683363) * exp((cos(x3) - x1) + exp(x2 / 14.593576784301225)))) - log(x3)
20, (log(x3) + log((((-2.026633747989583 - x4) / x3) / -1.3894941494192716) / (x1 + 0.40516021618158315))) / exp(x3 / -1.2520242305796276)                                                                                                                    ,626.1453018941987,324.815348573433, ((((sqrt(x4) + 9.787133741669484) - (sqrt(sqrt(sqrt(x1 - -0.1588018188571771))) * 9.891957200645958)) * sqrt(exp(x3 * 1.595513316656433))) * 0.6417101084127885) + -0.12959050347009698
28, ((0.7680027003935339 + cos(x3 + x4)) + (x4 - 1.1383490330959025)) / ((-1.1096834446484936 + cos((log(x4) - x3) * sqrt(x4))) * ((1.8806114951509483 / x1) / cos(x3)))                                                                                      ,35.13808914606577,318.1038243405374, ((((x4 * (cos(x3) / (-10.32619355896724 / (exp(cos((x3 + -2.085609061696435) * sqrt(x4))) * x1)))) + 1.094993224279) - 1.0185893194204565) * (x4 - -1.2282230475045832)) + -1.5833343775633184
