true_equation,equation_simplified,complexity_multivar,complexity_simplified,eval_std,eval_mean,eval_min,eval_max
 0.2304638568406269 - (x / (x + x))                                                                                                                                                                                                                     ,-0.2695361431593731,7,1,5.551115123125783e-17,-0.2695361431593732,-0.2695361431593731,-0.2695361431593731
 (-3.25998550029729 * sqrt(x * x)) + (0.30040134801163587 - cos(exp(-0.6689466144672617 / x)))                                                                                                                                                          ,-3.25998550029729*sqrt(x**2) - cos(exp(-0.6689466144672617/x)) + 0.30040134801163587,14,13,9.325325355966513,-16.68714741409602,-32.893035729981186,-0.6995986523143627
 ((((1.0906690515890725 + x) + (x * sqrt(x))) * ((0.3229221487642986 / sqrt(sqrt(x))) / ((0.8754026865418715 / cos(x)) * (x + 0.8741866889177761)))) + x) / -0.9298969317572068                                                                     ,-1.075387998227202*x - 0.3966935542712157*(x**(3/2) + x + 1.0906690515890725)*cos(x)/(x**(1/4)*(x + 0.8741866889177761)),27,24,5.649680593439375,-5.488886271255468,-156.51066779614865,-0.9588116397772002
 ((x * -0.6395710496597933) - x) - sqrt(x)                                                                                                                                                                                                              ,-sqrt(x) - 1.639571049659793*x,8,5,5.471446229292786,-10.30549265177235,-19.55798815676631,-1.0000163957104969e-05
 exp(((-0.3741726321384304 * x) * exp(x - x)) - x) * ((sqrt(x) + sqrt(sqrt(x))) - ((x * sqrt(x)) / x))                                                                                                                                            ,x**(1/4)*exp(-1.37417263213843*x),25,9,0.1253738336905908,0.060762294822846,1.9144502579028693e-06,0.50862302565618
 exp(exp((((x + -1.561878785612393) / x) / x) / (x + x)))                                                                                                                                                                                             ,exp(exp((x - 1.561878785612393)/(2*x**3))),13,10,0.4676840349109168,2.5903989350764944,1.0,2.803393343103633
 ((x / x) / sqrt(3.9688525185864068 * (x / exp(x)))) - sqrt(x)                                                                                                                                                                                        ,-sqrt(x) + 0.50195816099760928/sqrt(x*exp(-x)),14,9,1586.4400515135778,53.53876302389329,-0.4735924934214872,50195.81609227072
 (cos(-0.2642622510516896 / ((x * (exp(x) + sqrt(x))) / 0.3615498650742963)) + ((x - 0.749771454165002) * sqrt(x))) - (((-0.02829684946245076 / x) - 1.3630911741232832) - x)                                                                       ,sqrt(x)*(x - 0.749771454165002) + x + cos(0.09554398121196819/(x*(sqrt(x) + exp(x)))) + 1.3630911741232832 + 0.02829684946245076/x,27,18,8943773.697563296,282986.93892439,1.3324121743066963,282968495.70287293
 (1.9514706325093518 + (-0.07046730739366353 + x)) / sqrt(x)                                                                                                                                                                                             ,(x + 1.8810033251156883)/sqrt(x),8,4,5945.176557495686,191.36927303166613,2.742993567367076,188100.3325215688
 (1.9650398329849303 - (cos(x) + ((x * -0.4429571087590436) * x))) - exp(((2.311534081884898 + x) / 0.8755797720183724) * (0.4122837648951354 + (0.7056748419203299 - x)))                                                                            ,0.4429571087590436*x**2 - exp((1.117958606815465 - x)*(1.142100391029839*x + 2.640003978799541)) - cos(x) + 1.9650398329849303,23,18,14.7217620970482,15.908456026561591,-18.16797120842067,47.09982223796573
 ((-0.94129418350604 + x) - x) * (cos(x) - x)                                                                                                                                                                                                          ,0.94129418350604*x - 0.94129418350604*cos(x),10,6,2.9452644257466094,4.75755193225362,-0.9412941834119106,10.202754984925582
 (x + (1.6923057054014758 * cos(x))) * -0.2223887168097701                                                                                                                                                                                               ,-0.2223887168097701*x - 0.37634969427408703*cos(x),8,6,0.6400282848317651,-1.0915202938776682,-1.9081028546556875,-0.2544497013793897
 cos(cos(x) - sqrt(x))                                                                                                                                                                                                                                   ,cos(sqrt(x) - cos(x)),6,4,0.6021625457430287,-0.3342832319706403,-0.999995950875476,0.999999138402551
 (-0.3953909123351764 - x) / sqrt(x)                                                                                                                                                                                                                     ,(-x - 0.3953909123351764)/sqrt(x),6,5,1249.6362674866211,-41.89083702985079,-39539.09124351764,-1.2576272595774771
 cos(x + (2.2348921081502278 + x))                                                                                                                                                                                                                       ,cos(2*x + 2.2348921081502278),6,5,0.7179182585400146,-0.0521808177226989,-0.9999999190718284,0.9999993408462592
 exp((exp(((x / -1.9379116464788118) * x) + 1.5525192164147033) * -0.2439785661369909) * (1.5398917644624186 - x))                                                                                                                                      ,exp(-1.1523972238005152*(1.5398917644624186 - x)*exp(-0.51601939738429325*x**2)),15,12,0.1983050269940467,0.9372905749686372,0.1695568527061999,1.0696966546351954
 (x * 0.32604198451290695) * x                                                                                                                                                                                                                           ,0.32604198451290695*x**2,5,5,9.731027264544206,10.873505623086563,3.2604198451290696e-21,32.6041984512907
 cos((-0.6090625298350625 - (x + cos(x))) * x)                                                                                                                                                                                                          ,cos(x*(-x - cos(x) - 0.6090625298350625)),9,7,0.7097359877370649,-0.0045361977367872,-0.9999999996439612,1.0
 1.1872152902083661 / (2.185942858626382 / (0.12961616975084805 * (x + x)))                                                                                                                                                                              ,0.14079260853428487*x,9,2,0.4068398888540077,0.703963042678464,1.4079260853428487e-11,1.4079260853428488
 exp(((x / (x + x)) * exp(x / -1.1936401032570558)) / ((((x - -0.25023784618368766) - 1.2636681945114512) - -0.9857936261615873) - x)) - -0.5503436162387332                                                                                         ,0.5503436162387332 + exp(-18.091870555182379*exp(-0.8377734605860888*x)),23,8,0.4005750446068197,1.1362387670505485,0.5503436301318745,1.5461923883932411
 (x / 0.9032242621473694) / -2.4160552935026227                                                                                                                                                                                                           ,-0.4582447897935311*x,5,2,1.3241622645419595,-2.291223948990568,-4.582447897935311,-4.582447897935311e-11
 x - (x / x)                                                                                                                                                                                                                                            ,x - 1,5,2,2.889639542085313,4.000000000049999,-0.9999999999,9.0
 (exp(-0.3081817269793346 - (-0.05939153334593602 + x)) * (x - (x * x))) - cos(x)                                                                                                                                                                     ,0.7797435513856444*(-x**2 + x)*exp(-x) - cos(x),15,12,0.6781967943751015,-0.0232392807666708,-1.0488296956676313,0.995010822876618
 cos(x / x) * (x * x)                                                                                                                                                                                                                                  ,x**2*cos(1),8,6,16.125826486284424,18.019090914934864,5.4030230586813976e-21,54.03023058681398
 (x * x) * x                                                                                                                                                                                                                                            ,x**3,5,3,283.8830718174004,250.2502502527477,1e-30,1000.0
 (-0.001412889947178822 * (((x * x) * 0.5698127532924703) - ((0.7136746027910484 / x) - ((-0.9396205638840124 * (0.013552221642012868 * x)) * x)))) / -0.38195352113995246                                                                            ,0.0020606984956215951*x**2 - 0.0026399643308193031/x,21,8,834412.5053937056,-26399.57655776156,-26399643.30819303,0.2058058531290775
 x * ((x * x) + (sqrt(x) + 0.16919648244665647))                                                                                                                                                                                                       ,x*(sqrt(x) + x**2 + 0.16919648244665647),10,8,293.4799022097055,263.74850951473,1.6920648244665647e-11,1033.3147414261502
 (-0.813478288652876 - sqrt(x / 1.7194151094800154)) * cos(cos(x + 1.1594920865416085) + (-0.653644426763223 - (x - -0.8240384211072865)))                                                                                                              ,(-0.76262252858567518*sqrt(x) - 0.813478288652876)*cos(x - cos(x + 1.1594920865416085) + 1.477682847870509),18,13,1.401990449562658,-0.090553510320734,-2.630406942430453,2.8811024316543508
 exp(((x - (-0.26494974908785834 - x)) + (-0.26908239754489827 + x)) / (-0.19181607662641229 * x))                                                                                                                                                     ,exp(-5.2133273581006196*(3*x - 0.0041326484570399298)/x),14,8,,,,
 -0.8017233630910647 + (-0.04796788501785752 + x)                                                                                                                                                                                                         ,x - 0.8496912481089222,5,2,2.889639542085313,4.150308751941077,-0.8496912480089223,9.150308751891078
 cos(((x * 1.682954161598504) * x) * (((-1.2256310278045408 + ((x / x) * 0.7662370971301317)) * (1.0255136316416842 * (x / (x * (x / x))))) - x))                                                                                                 ,cos(1.682954161598504*x**2*(-x - 0.47111473820006138)),26,10,0.713494064901191,0.0520674693880239,-0.9999933790031358,1.0
 (x - x) * ((-0.016634359514534923 + x) - 0.6934518868487197)                                                                                                                                                                                           ,0,9,1,0.0,0.0,0.0,0.0
 (((cos(x * (-0.6105186262211098 - x)) + (0.38926883236168797 + cos(x))) * (-0.4606041432443448 * sqrt(x))) + (x * x)) * ((-1.3237280257031656 * x) + x)                                                                                           ,-0.3237280257031656*x*(-0.4606041432443448*sqrt(x)*(cos(x) + cos(x*(-x - 0.6105186262211098)) + 0.38926883236168797) + x**2),26,20,92.48567908975872,-80.62449078448105,-322.2698981558369,0.0712928737639631
 sqrt((exp(x) * x) / sqrt((x - x) + ((x * x) - ((x / x) * -0.9833962666923138)))) + (1.335383997308655 - (sqrt(x) - -0.4830698817716382))                                                                                                         ,-sqrt(x) + sqrt(x*exp(x)/sqrt(x**2 + 0.9833962666923138)) + 0.8523141155370168,27,15,35.99722462738367,28.070719979072656,0.8523141574825442,145.74054937065543
 (exp(-0.8162178583799028 - ((x / x) - (0.22286304575988788 - sqrt(x)))) / (x * -1.6194608102295038)) * -0.1378811274363652                                                                                                                            ,0.017304106534691672*exp(-sqrt(x))/x,17,6,5469247.5555836735,173039.34211783943,7.324693258903002e-05,173039334.94491524
 (((sqrt(x) - sqrt(exp(x))) + x) - x) / ((-0.2787595426158689 * (((x / x) - 0.1229656428477639) / (0.9628075931169551 - (1.0172351584998915 * x)))) / 0.7985388549126157)                                                                           ,(sqrt(x) - sqrt(exp(x)))*(3.3225464772119713*x - 3.144772327237662),26,9,1033.0225599882197,-663.7138026955907,-4369.247092017108,3.144740879339377
 0.5733429620670062 / (((0.24614153696878588 - x) - (x * 1.4936944351096328)) - ((x + 1.470883226420848) * (x - (x - x))))                                                                                                                           ,0.5733429620670062/(-x*(x + 1.470883226420848) - 2.4936944351096328*x + 0.24614153696878588),19,11,4.175767970797165,0.0718870183070571,-15.679454225485612,129.6700334097932
 exp((((0.41652989934840046 - (x + -0.36494858358827464)) + (-0.049099335644867466 * x)) * (x - (cos(x) + sqrt(0.3979178037749853 + x)))) * 0.9499364618224589)                                                                                       ,exp(0.9499364618224589*(0.7814784829366751 - 1.0490993356448675*x)*(x - sqrt(x + 0.3979178037749853) - cos(x))),22,14,0.3510696719142466,0.1733040569228871,3.153364447780705e-31,1.2271959014379086
 (sqrt(sqrt(x) - -0.8601870415149858) - (0.9904418045952251 * x)) / ((exp(x) / (-0.7143061811480913 * x)) / (0.4589402308592498 / x))                                                                                                                 ,-0.3278238436802941*(-0.9904418045952251*x + sqrt(sqrt(x) + 0.8601870415149858))*exp(-x),20,12,0.0586853333497826,-0.0106336173319149,-0.3152242628581295,0.0245946200509151
 (sqrt(sqrt((x / -1.1111231282002227) + x) * x) / (sqrt(sqrt(x) + x) + -0.6945607223645041)) + sqrt(exp(-0.7013571144809493 * x))                                                                                                                    ,sqrt(exp(-0.7013571144809493*x)) + 0.56235500889716059*sqrt(x**(3/2))/(sqrt(sqrt(x) + x) - 0.6945607223645041),23,19,0.7829432511257505,1.2169425297728371,-9.103134469918732,21.07001663928044
 exp(-0.16278190770105136 / ((-0.08167154669948183 - cos(x)) - ((sqrt(x) * (x + (x * (1.5383436465962415 - ((x / x) / x))))) * (x / x))))                                                                                                         ,exp(-0.16278190770105136/(-sqrt(x)*(x*(1.5383436465962415 - 1/x) + x) - cos(x) - 0.08167154669948183)),26,16,0.046801633738604,1.026037273872846,1.0021343286902624,1.2164999151775815
 ((-0.6326673463692062 + x) * (0.5059341216756399 - (x / exp(x)))) + exp(cos(-0.1486520902474339 - (x - x)))                                                                                                                                          ,(x - 0.6326673463692062)*(-x*exp(-x) + 0.5059341216756399) + 2.688468253019323,18,11,1.5401616227977295,4.761973441319824,2.368380254935021,7.423468709132194
 ((x - 0.9557433932192252) / sqrt(exp(1.181809439183833 - x))) - cos((sqrt(x) / -0.5902694669769238) - ((x * 0.34133186743636285) * x))                                                                                                               ,0.5538260007745762*(x - 0.9557433932192252)/sqrt(exp(-x)) - cos(1.694141499680678*sqrt(x) + 0.34133186743636285*x**2),21,19,176.23070445316793,116.40286838008036,-1.529315541060904,743.6121109669252
 exp((sqrt((x + x) + 0.2399281553233911) + (x - -0.4103841870629652)) / (((0.8279199392163572 * (x * -1.3129041575442288)) + (x - 1.652925161378158)) - 1.1843753356927968))                                                                          ,exp((x + sqrt(2)*sqrt(x + 0.1199640776616955) + 0.4103841870629652)/(-0.08697953031092057*x - 2.8373004970709548)),23,15,0.152762120240336,0.1384358698408616,0.0179203544699303,0.7281293910142767
 sqrt((x * sqrt(((0.32489284884695185 / (-1.3688514859718537 - x)) - 0.39855149988029115) / (-0.6091534660856515 * x))) + ((x / (x - -0.3810307490708353)) + (x + x)))                                                                              ,sqrt(2)*sqrt(0.6406290738602004*x*sqrt(-(-0.39855149988029115 + 0.32489284884695185/(-x - 1.3688514859718537))/x) + x + x/(2*(x + 0.3810307490708353))),25,24,1.0274773768938847,3.4106871816970936,0.0031965029185315,4.859144399917409
 (cos(((sqrt(x) + x) - x) / -1.1143478042899464) / (-1.0280768001961396 - (x / exp(x)))) - (x + (x + 1.1466520039054489))                                                                                                                           ,-2*x - 1.1466520039054489 + cos(0.89738589347981179*sqrt(x))/(-x*exp(-x) - 1.0280768001961396),22,16,5.285324400400036,-10.85594179113498,-20.21891718173414,-2.119341981811086
 (x - ((x - x) + (cos(x) * 0.7014242578890908))) - x                                                                                                                                                                                                  ,-0.7014242578890908*cos(x),12,3,0.5059049785074877,0.0380640435683244,-0.7014242578890908,0.7014234147709653
 (exp(1.5121653735291885 - (exp(x) * (0.2955961791998437 * x))) / -0.6912667620916311) / ((sqrt(1.8009910610045796 * (0.31696498975975956 / x)) / x) + (x / 0.35227421237432316))                                                                     ,-6.5626524033232741*exp(-0.2955961791998437*x*exp(x))/(2.8386977101162594*x + 0.75554689676335451*sqrt(1/x)/x),24,17,0.3412158418788719,-0.1282775581721915,-1.452369211483652,-0.0
 exp(cos(-0.3631174042628515 * x)) - ((0.8050158679645592 + (x / x)) - (x + -0.3164110233086661))                                                                                                                                                      ,x + exp(cos(0.3631174042628515*x)) - 2.121426891273225,15,7,2.132469967349649,4.025987061097518,0.5968549372858196,8.292308032712295
 (0.7879774531980084 * cos(x)) + x                                                                                                                                                                                                                       ,x + 0.7879774531980084*cos(x),6,4,2.819217250779444,4.957238992326014,0.7879774532980084,9.338830553467378
 sqrt((x + x) + sqrt(x))                                                                                                                                                                                                                                ,sqrt(sqrt(x) + 2*x),7,5,1.0683883020815272,3.311522888259532,0.0031623092827868,4.812720401204331
 (0.9995049701566392 - (x - (x / -0.7398081421738107))) + (x - sqrt(x * x))                                                                                                                                                                           ,-1.351701803472528*x - sqrt(x**2) + 0.9995049701566392,14,9,6.795570522507559,-10.75900404732358,-22.51751306456864,0.999504969921469
 (x / 0.03146942624677106) * x                                                                                                                                                                                                                           ,31.77687423210029*x**2,5,5,948.4104631387409,1059.7592857958418,3.17768742321003e-19,3177.68742321003
 cos(((0.008372329439715538 * (x * (0.5895431186999067 + x))) / (x / cos(x))) * (sqrt(1.1500655336778136 / x) / x))                                                                                                                                  ,cos(0.0089785788923603867*(x + 0.5895431186999067)*sqrt(1/x)*cos(x)/x),20,12,0.0699104359817556,0.9954566983462808,-0.6048047352390554,0.9999999999708516
 (x * x) + 0.4495279362478405                                                                                                                                                                                                                            ,x**2 + 0.4495279362478405,5,5,29.845933121410585,33.799544619930856,0.4495279362478405,100.44952793624785
 sqrt(sqrt(0.061408486270053166 / x)) / exp(x)                                                                                                                                                                                                           ,0.49780252829308752*(1/x)**(1/4)*exp(-x),8,12,4.976045820796347,0.2170804684824955,1.2709026316398094e-05,157.41898142391491
 sqrt(exp(0.9098395673918604 * x)) - (-1.4865050751940962 - (((sqrt(x) + x) / ((((x / 0.9710256819648071) + -1.0095804491993954) + x) + -0.3230843670086678)) / sqrt(sqrt(x * x))))                                                                 ,(sqrt(x) + x)/((2.029838879211274*x - 1.3326648162080632)*(x**2)**(1/4)) + sqrt(exp(0.9098395673918604*x)) + 1.4865050751940962,28,23,25.25176762052166,22.579541064644417,-148.36621389266045,219.4245063770514
